OPERATOR/WELLBORE,
WELLBORE STATUS,OPEN
LAST PERMIT ISSUED,472570
LAST PERMIT OPERATOR NUMBER,843265
LAST PERMIT OPERATOR,TERRACE PETROLEUM CORPORATION
LAST PERMIT LEASE NAME,"WOODY ""36"""
TOTAL DEPTH,9500
SURFACE LOCATION,Land
ABSTRACT,911
SURVEY,T&P RR CO/M TOM
BLOCK,37 T-2-N
SECTION,36
DISTANCE 1,1980
DIRECTION 1,E
DISTANCE 2,1980
DIRECTION 2,S
,Oil/Gas Imaged Records for API:31734157
COMPLETION RECORD,
PRORATION SCHEDULE,OIL
DISTRICT,08
LEASE/ID,35729
OPERATOR NUMBER,251691
OPERATOR,ENCANA OIL & GAS(USA) INC.
LEASE NAME,"WOODY ""36"""
FIELD,SPRABERRY (TREND AREA)
WELL NUMBER,   3  
TYPE WELL,SHUT IN
ON SCHEDULE,YES
,production data query(pdq)
